pos	leaf_nonsyn	tree_nonsyn	leaf_syn	tree_syn 	ratio
1	0	0	1	0 	0.0
2	1	2	1	2 	1.0
3	1	3	0	1 	4.0
4	0	0	3	1 	0.0
5	1	1	0	1 	2.0
6	1	0	0	0 	0.0
7	1	0	3	0 	0.333333333333
8	0	1	0	0 	0.0
9	0	0	1	0 	0.0
10	1	0	2	1 	0.333333333333
11	0	0	0	0 	0.0
12	0	0	1	1 	0.0
13	0	0	1	2 	0.0
14	0	0	2	0 	0.0
15	0	0	0	2 	0.0
16	0	0	1	2 	0.0
17	0	0	1	4 	0.0
18	0	0	0	0 	0.0
19	0	0	4	1 	0.0
20	0	0	0	1 	0.0
21	1	0	0	0 	0.0
22	0	0	1	0 	0.0
23	0	0	1	0 	0.0
24	0	0	0	4 	0.0
25	0	1	3	0 	0.333333333333
26	0	0	0	1 	0.0
27	0	0	0	0 	0.0
28	0	0	0	0 	0.0
29	1	0	1	0 	1.0
30	0	0	1	2 	0.0
31	1	2	0	0 	0.0
32	0	0	0	2 	0.0
33	1	1	0	1 	2.0
34	2	0	0	0 	0.0
35	0	0	1	0 	0.0
36	0	0	1	2 	0.0
37	0	0	2	1 	0.0
38	0	0	0	0 	0.0
39	0	0	3	0 	0.0
40	0	0	0	0 	0.0
41	0	0	2	1 	0.0
42	0	0	0	3 	0.0
43	0	0	0	1 	0.0
44	1	0	1	0 	1.0
45	4	2	0	1 	6.0
46	0	0	1	1 	0.0
47	1	1	0	0 	0.0
48	0	0	1	1 	0.0
49	1	0	1	2 	0.333333333333
50	4	4	2	1 	2.66666666667
51	0	0	0	0 	0.0
52	0	0	0	1 	0.0
53	3	3	1	0 	6.0
54	3	1	2	0 	2.0
55	1	0	0	0 	0.0
56	0	0	1	2 	0.0
57	0	2	5	3 	0.25
58	2	0	1	0 	2.0
59	1	0	1	2 	0.333333333333
60	0	0	0	1 	0.0
61	0	0	5	2 	0.0
62	8	2	1	1 	5.0
63	0	2	2	1 	0.666666666667
64	0	0	0	0 	0.0
65	0	0	1	0 	0.0
66	0	0	1	2 	0.0
67	0	2	1	0 	2.0
68	0	0	0	1 	0.0
69	0	0	0	0 	0.0
70	0	0	2	0 	0.0
71	0	0	0	0 	0.0
72	0	0	1	2 	0.0
73	0	0	0	1 	0.0
74	0	0	3	0 	0.0
75	0	2	0	0 	0.0
76	0	0	1	0 	0.0
77	0	0	0	0 	0.0
78	0	4	1	1 	2.0
79	3	1	1	3 	1.0
80	2	1	1	0 	3.0
81	0	1	0	0 	0.0
82	0	2	0	0 	0.0
83	0	3	1	0 	3.0
84	0	0	0	0 	0.0
85	0	0	2	0 	0.0
86	0	0	1	0 	0.0
87	0	0	2	2 	0.0
88	1	1	1	0 	2.0
89	0	0	2	0 	0.0
90	0	0	0	0 	0.0
91	0	0	0	0 	0.0
92	4	2	1	0 	6.0
93	0	0	0	1 	0.0
